word	opus_rank	hsk_level	pos	lccc_rank	is_foreign_name	is_foreign_score3	tier	dialog_priority
的	1	HSK1	助	1	0	0	A_essential	1
我	2	HSK1	代	2	0	0	A_essential	1
你	3	HSK1	代	3	0	0	A_essential	1
了	4	HSK3	动	4	0	0	A_essential	1
是	5	HSK1	动	5	0	0	A_essential	1
在	6	HSK1	动、介、副	12	0	0	A_essential	1
他	7	HSK1	代	41	0	0	A_essential	1
我们	8	HSK1	代	38	0	0	A_essential	1
吗	9	HSK1	助	17	0	0	A_essential	1
不	10	HSK1	副	7	0	0	A_essential	1
什么	11	HSK1	代	24	0	0	A_essential	1
好	12	HSK4	动	9	0	0	A_essential	1
就	13	HSK1	副	8	0	0	A_essential	1
吧	14	HSK1	助	15	0	0	A_essential	1
有	15	HSK1	动	13	0	0	A_essential	1
这	16	HSK1	代	32	0	0	A_essential	1
说	17	HSK1	动	18	0	0	A_essential	1
她	18	HSK1	代	72	0	0	A_essential	1
知道	19	HSK1	动	42	0	0	A_essential	1
都	20	HSK1	副	10	0	0	A_essential	1
去	21	HSK1	动	14	0	0	A_essential	1
要	22	HSK4	连	20	0	0	A_essential	1
很	23	HSK1	副	28	0	0	A_essential	1
他们	24	HSK1	代	170	0	0	A_essential	1
会	25	HSK2	名	48	0	0	A_essential	1
那	26	HSK2	连	21	0	0	A_essential	1
也	27	HSK1	副	11	0	0	A_essential	1
来	28	HSK1	动	36	0	0	A_essential	1
啊	29	HSK4	叹	6	0	0	A_essential	1
想	30	HSK1	动	26	0	0	A_essential	1
人	31	HSK1	名	31	0	0	A_essential	1
对	32	HSK2	介、动	45	0	0	A_essential	1
一个	33			46	0	0	A_essential_extra_HSK	1
和	34	HSK1	介、连	54	0	0	A_essential	1
没有	35	HSK1	动、副	35	0	0	A_essential	1
把	36	HSK3	量	78	0	0	A_essential	1
给	37	HSK1	动、介	37	0	0	A_essential	1
让	38	HSK2	动、介	86	0	0	A_essential	1
不是	39			33	0	0	A_essential_extra_HSK	1
做	40	HSK1	动	77	0	0	A_essential	1
你们	41	HSK1	代	65	0	0	A_essential	1
还	42	HSK1	动	16	0	0	A_essential	1
可以	43	HSK2	动	29	0	0	A_essential	1
现在	44	HSK1	名	47	0	0	A_essential	1
这个	45			57	0	0	A_essential_extra_HSK	1
到	46	HSK1	动	56	0	0	A_essential	1
怎么	47	HSK1	代	49	0	0	A_essential	1
没	48	HSK1	副、动	19	0	0	A_essential	1
呢	49	HSK1	助	23	0	0	A_essential	1
走	50	HSK1	动	104	0	0	A_essential	1
能	51	HSK1	动	61	0	0	A_essential	1
跟	52	HSK1	介、连、动	75	0	0	A_essential	1
就是	53	HSK3	连	39	0	0	A_essential	1
这样	54	HSK2	代	85	0	0	A_essential	1
这里	55	HSK1	代	335	0	0	A_essential	1
个	56	HSK1	量	74	0	0	A_essential	1
但	57	HSK2	连	184	0	0	A_essential	1
上	58	HSK1	名、动	79	0	0	A_essential	1
如果	59	HSK2	连	192	0	0	A_essential	1
被	60	HSK3	介	80	0	0	A_essential	1
看	61	HSK6	动	25	0	0	A_essential_extra_HSK	1
得	62	HSK4	动	76	0	0	A_essential	1
它	63	HSK2	代	238	0	0	A_essential	1
过	64	HSK2	助	66	0	0	A_essential	1
谁	65	HSK1	代	93	0	0	A_essential	1
不会	66			89	0	0	A_essential_extra_HSK	1
事	67	HSK1	名	226	0	0	A_essential	1
自己	68	HSK2	代	50	0	0	A_essential	1
着	69	HSK4	动	67	0	0	A_essential	1
告诉	70	HSK1	动	201	0	0	A_essential	1
为什么	71	HSK2		124	0	0	A_essential	1
不要	72	HSK2	副	73	0	0	A_essential	1
不能	73			107	0	0	A_essential_extra_HSK	1
已经	74	HSK2	副	92	0	0	A_essential	1
再	75	HSK1	副	91	0	0	A_essential	1
谢谢	76	HSK1	动	83	0	0	A_essential	1
真的	77	HSK1		62	0	0	A_essential	1
快	78	HSK1	形、副	101	0	0	A_essential	1
