lo	hi	vocab	sum_freq	pct_corpus	avg_freq	mean_word_len	uniq_chars
1	100	100	43215644	72.7252	432156.44	1.39	95
101	500	400	11879002	19.9905	29697.51	1.77	361
501	1000	500	2215218	3.7279	4430.44	1.82	530
1001	2000	1000	1191923	2.0058	1191.92	1.90	858
2001	3000	1000	382260	0.6433	382.26	1.94	935
3001	5000	2000	281803	0.4742	140.90	2.00	1414
5001	7000	2000	109453	0.1842	54.73	2.06	1504
7001	10000	3000	70109	0.1180	23.37	2.12	1867
10001	15000	5000	44012	0.0741	8.80	2.18	2369
15001	30000	15000	30457	0.0513	2.03	2.33	3529
30001	436498	406498	3354	0.0056	0.01	2.53	8664
