rank	freq	smoothed_avg_freq	log10_rank	log10_avg_freq	d_logf_d_logr
1	4324665	4324665.000	0.0000	6.6360	
2	4237299	4280982.000	0.3010	6.6315	-0.0146
3	3845038	4041168.500	0.4771	6.6065	-0.1422
4	2397214	3121126.000	0.6021	6.4943	-0.8980
5	1873778	2135496.000	0.6990	6.3295	-1.7007
6	1122838	1498308.000	0.7782	6.1756	-1.9436
7	1043374	1083106.000	0.8451	6.0347	-2.1051
8	1018047	1030710.500	0.9031	6.0131	-0.3713
9	838816	928431.500	0.9542	5.9677	-0.8873
10	823750	777849.000	1.0000	5.8909	-1.6796
11	670981	711277.000	1.0414	5.8520	-0.9387
12	639100	677488.750	1.0792	5.8309	-0.5593
13	576124	614879.500	1.1139	5.7888	-1.2114
14	573313	586727.500	1.1461	5.7684	-0.6324
15	558373	560097.750	1.1761	5.7483	-0.6732
16	532581	546398.000	1.2041	5.7375	-0.3837
17	521325	530380.250	1.2304	5.7246	-0.4908
18	509242	511202.000	1.2553	5.7086	-0.6443
19	481660	496215.750	1.2788	5.6957	-0.5503
20	472636	461878.600	1.3010	5.6645	-1.3980
21	425169	443491.800	1.3222	5.6469	-0.8326
22	420686	428623.000	1.3424	5.6321	-0.7331
23	417308	422945.167	1.3617	5.6263	-0.3000
24	407316	406535.833	1.3802	5.6091	-0.9298
25	394556	397898.333	1.3979	5.5998	-0.5261
26	374180	389357.667	1.4150	5.5903	-0.5532
27	373344	380857.833	1.4314	5.5808	-0.5848
28	369442	372705.000	1.4472	5.5714	-0.5950
29	366309	366093.667	1.4624	5.5636	-0.5100
30	358399	352373.714	1.4771	5.5470	-1.1267
31	354888	344746.857	1.4914	5.5375	-0.6673
32	323259	337070.571	1.5051	5.5277	-0.7093
33	320975	333343.000	1.5185	5.5229	-0.3614
34	319956	324627.625	1.5315	5.5114	-0.8875
35	315708	315360.625	1.5441	5.4988	-0.9991
36	307250	306434.375	1.5563	5.4863	-1.0193
