rank	char	score_token	score_uniform	uniq_words	cum_pct	hsk_char_level
1	我	6072061	6072060	6313	6.9915	HSK1
2	的	5183187	5183187	1659	12.9595	HSK1
3	你	4668867	4668867	1889	18.3354	HSK1
4	是	3392246	3353078	3366	22.2413	HSK1
5	了	2867576	2867574	1092	25.5431	HSK1
6	不	2277764	2275066	10642	28.1657	HSK1
7	们	1750150	1750150	526	30.1809	HSK1
8	他	1615167	1615167	1878	32.0406	HSK1
9	这	1597584	1597584	2822	33.8801	HSK1
10	在	1579613	1579611	2267	35.6989	HSK1
11	有	1384528	1364987	6776	37.2931	HSK1
12	么	1355301	1355301	232	38.8536	HSK1
13	一	1219314	1219057	9372	40.2576	HSK1
14	要	1069859	1069859	4125	41.4894	HSK1
15	好	1018494	994251	3253	42.6622	HSK1
16	个	963790	963731	2479	43.7719	HSK1
17	就	918217	918217	1192	44.8291	HSK1
18	什	855640	855640	1508	45.8144	HSK1
19	那	838234	838234	4441	46.7795	HSK1
20	吗	832086	832086	38	47.7376	HSK1
21	来	790893	790824	5867	48.6482	HSK1
22	会	706050	706049	6535	49.4612	HSK1
23	没	691309	691281	1999	50.2572	HSK1
24	人	679681	678841	9952	51.0398	HSK1
25	吧	671450	671450	244	51.8129	HSK1
26	到	657256	657248	3479	52.5697	HSK1
27	去	639184	639168	3517	53.3057	HSK1
28	说	602678	602607	2072	53.9996	HSK1
29	她	582562	582562	153	54.6704	HSK1
30	想	571794	564834	2830	55.3288	HSK1
31	道	567055	567055	1644	55.9817	HSK1
32	知	554353	553537	828	56.6200	HSK1
33	都	546156	546156	916	57.2488	HSK1
34	很	543857	543819	1239	57.8750	HSK1
35	能	541102	541102	2993	58.4981	HSK1
36	看	532809	453450	2070	59.1116	HSK1
37	为	515654	515628	1919	59.7053	HSK2
38	可	513137	512750	3171	60.2961	HSK2
39	以	486780	486780	2374	60.8566	HSK2
40	也	483881	483881	320	61.4138	HSK1
41	还	462185	462185	645	61.9459	HSK1
42	啊	446487	446475	112	62.4600	HSK2
43	里	422481	422481	3259	62.9465	HSK1
44	对	407281	407281	1870	63.4154	HSK1
45	样	388125	388122	476	63.8623	HSK1
46	得	385174	385174	4285	64.3058	HSK1
47	和	364458	364458	2962	64.7255	HSK1
48	上	359164	359161	4511	65.1390	HSK1
49	事	356667	356642	2453	65.5497	HSK1
50	把	349418	349418	604	65.9520	HSK3
51	做	331136	331120	1268	66.3333	HSK1
52	怎	326641	326641	522	66.7094	HSK1
53	真	321897	321895	2825	67.0801	HSK1
54	过	317798	317798	3314	67.4460	HSK1
55	但	312627	312627	1143	67.8059	HSK2
56	只	304463	304463	1108	68.1565	HSK2
57	给	303289	303289	902	68.5057	HSK1
58	让	286589	286589	284	68.8357	HSK2
59	现	281163	281163	509	69.1594	HSK1
60	生	280110	280064	3661	69.4820	HSK1
61	谢	265931	139375	559	69.7882	HSK1
62	起	259884	259884	2172	70.0874	HSK1
63	走	253651	253219	951	70.3795	HSK1
64	时	253617	253595	2310	70.6715	HSK1
65	下	253394	253381	3691	70.9632	HSK1
66	呢	252127	252127	118	71.2535	HSK1
67	如	243712	243712	1398	71.5342	HSK2
68	跟	238314	238314	1291	71.8086	HSK1
69	些	229483	229483	1214	72.0728	HSK1
70	天	227704	227238	2710	72.3350	HSK1
71	快	217035	216914	1691	72.5849	HSK1
72	点	212211	210998	2473	72.8292	HSK1
73	开	209735	209729	2065	73.0707	HSK1
74	着	207644	207644	993	73.3098	HSK1
75	多	206413	206289	5441	73.5475	HSK1
76	它	205806	205806	569	73.7844	HSK2
77	再	204894	204894	1341	74.0204	HSK1
78	果	201464	201464	817	74.2523	HSK1
79	所	196455	196384	1556	74.4785	HSK2
80	被	191402	191402	607	74.6989	HSK3
81	后	191329	191329	1577	74.9192	HSK1
82	回	191117	191115	2352	75.1393	HSK1
83	自	189018	188984	2066	75.3569	HSK2
84	等	188960	153874	515	75.5745	HSK1
85	找	187086	187062	1560	75.7899	HSK1
86	别	184549	184543	1835	76.0024	HSK1
87	子	180728	180728	4927	76.2105	HSK1
