rank	char	score_token	score_uniform	uniq_words	cum_pct	hsk_char_level
1	我	5542532	5542531	3293	6.9394	HSK1
2	的	4550568	4550568	282	12.6368	HSK1
3	你	4179785	4179785	703	17.8699	HSK1
4	是	3003486	2969485	2189	21.6303	HSK1
5	了	2516367	2516366	551	24.7809	HSK1
6	不	2037632	2035244	6900	27.3320	HSK1
7	们	1797780	1797780	480	29.5829	HSK1
8	这	1622717	1622717	2643	31.6146	HSK1
9	他	1504916	1504916	1081	33.4987	HSK1
10	在	1419713	1419711	1292	35.2763	HSK1
11	么	1391108	1391108	146	37.0179	HSK1
12	有	1270099	1250103	4236	38.6081	HSK1
13	一	1128203	1127959	5985	40.0207	HSK1
14	个	980023	979965	2376	41.2477	HSK1
15	要	941224	941224	2739	42.4261	HSK1
16	好	890331	870042	2340	43.5408	HSK1
17	什	866244	866244	501	44.6254	HSK1
18	吗	844626	844626	32	45.6829	HSK1
19	就	803278	803278	603	46.6886	HSK1
20	来	802405	802344	5608	47.6932	HSK1
21	那	772215	772215	2507	48.6600	HSK1
22	会	718267	718266	6178	49.5593	HSK1
23	没	704891	704863	1914	50.4418	HSK1
24	说	611359	611288	1958	51.2073	HSK1
25	人	601233	600525	6763	51.9600	HSK1
26	到	578901	578893	2393	52.6848	HSK1
27	吧	577891	577891	122	53.4084	HSK1
28	去	563953	563939	2666	54.1144	HSK1
29	为	522945	522921	1824	54.7692	HSK2
30	她	518056	518056	63	55.4178	HSK1
31	想	508956	502878	1947	56.0550	HSK1
32	道	503787	503787	1276	56.6858	HSK1
33	知	491933	491253	610	57.3017	HSK1
34	能	481295	481295	2018	57.9043	HSK1
35	很	481158	481127	621	58.5067	HSK1
36	都	478081	478081	513	59.1053	HSK1
37	看	473477	403266	1368	59.6981	HSK1
38	还	468356	468356	613	60.2844	HSK1
39	可	450765	450445	2269	60.8488	HSK2
40	以	429259	429259	1401	61.3863	HSK2
41	里	428025	428025	2845	61.9221	HSK1
42	也	421199	421199	90	62.4495	HSK1
43	对	411955	411955	1733	62.9653	HSK1
44	样	393100	393097	442	63.4574	HSK1
45	啊	366398	366390	9	63.9162	HSK2
46	得	349827	349827	3044	64.3542	HSK1
