rank	char	score_token	score_uniform	uniq_words	cum_pct	hsk_char_level
1	我	6255344	6255343	3672	6.8747	HSK1
2	的	5196375	5196375	294	12.5856	HSK1
3	你	4707152	4707152	787	17.7588	HSK1
4	是	3429447	3390279	2406	21.5279	HSK1
5	了	2873547	2873545	580	24.6859	HSK1
6	不	2324194	2321491	7398	27.2403	HSK1
7	们	2018484	2018484	543	29.4586	HSK1
8	这	1850000	1850000	2896	31.4918	HSK1
9	他	1675317	1675317	1153	33.3330	HSK1
10	在	1608020	1608017	1413	35.1002	HSK1
11	么	1588886	1588886	156	36.8464	HSK1
12	有	1441560	1418708	4654	38.4307	HSK1
13	一	1285512	1285218	6382	39.8435	HSK1
14	个	1113176	1113100	2600	41.0669	HSK1
15	要	1074560	1074560	3047	42.2479	HSK1
16	好	1019185	994958	2551	43.3680	HSK1
17	什	984349	984349	540	44.4498	HSK1
18	吗	962604	962604	33	45.5077	HSK1
19	就	920394	920394	669	46.5192	HSK1
20	来	915565	915479	6043	47.5255	HSK1
21	那	885022	885022	2755	48.4981	HSK1
22	会	816549	816548	6790	49.3955	HSK1
23	没	800808	800776	2055	50.2756	HSK1
24	说	698217	698133	2145	51.0430	HSK1
25	人	685071	684237	7277	51.7959	HSK1
26	吧	671836	671836	130	52.5342	HSK1
27	到	658887	658878	2569	53.2583	HSK1
28	去	642379	642361	2882	53.9643	HSK1
29	为	597423	597395	1974	54.6209	HSK2
30	她	582675	582675	66	55.2613	HSK1
31	想	574428	567465	2139	55.8926	HSK1
32	道	568247	568247	1386	56.5171	HSK1
33	知	554143	553327	691	57.1261	HSK1
34	都	547488	547488	567	57.7278	HSK1
35	很	546585	546547	670	58.3285	HSK1
36	能	544672	544672	2202	58.9271	HSK1
37	看	537528	458179	1509	59.5179	HSK1
38	还	536661	536661	662	60.1077	HSK1
39	可	514507	514119	2453	60.6731	HSK2
40	以	491315	491315	1533	61.2131	HSK2
41	也	487689	487689	106	61.7490	HSK1
42	里	486167	486167	3045	62.2834	HSK1
43	对	470178	470178	1940	62.8001	HSK1
44	样	450901	450897	499	63.2956	HSK1
45	啊	446907	446895	11	63.7868	HSK2
46	得	398689	398689	3271	64.2250	HSK1
47	怎	374972	374972	304	64.6371	HSK1
48	过	369172	369172	3410	65.0428	HSK1
49	事	367898	367873	1732	65.4471	HSK1
50	和	364845	364845	2218	65.8481	HSK1
51	上	360180	360177	3428	66.2439	HSK1
52	给	351064	351064	926	66.6297	HSK1
53	把	350260	350260	374	67.0147	HSK3
54	做	332109	332093	850	67.3797	HSK1
55	让	330129	330129	291	67.7425	HSK2
56	现	325136	325136	538	68.0998	HSK1
57	真	323905	323903	2075	68.4558	HSK1
58	但	313879	313879	862	68.8008	HSK2
59	只	307155	307155	867	69.1383	HSK2
60	谢	306929	160897	582	69.4756	HSK1
61	时	294207	294182	2381	69.7990	HSK1
62	生	289620	289574	2618	70.1173	HSK1
63	起	277181	277181	1600	70.4219	HSK1
64	下	254711	254698	2896	70.7018	HSK1
65	走	252838	252403	759	70.9797	HSK1
66	呢	252812	252812	29	71.2576	HSK1
67	点	246263	244842	2551	71.5282	HSK1
68	如	242650	242650	1181	71.7949	HSK2
69	开	242273	242265	2117	72.0611	HSK1
70	些	241959	241959	873	72.3271	HSK1
71	跟	237407	237407	970	72.5880	HSK1
72	天	227880	227415	2182	72.8384	HSK1
73	快	226064	225944	1258	73.0869	HSK1
74	后	224987	224987	1582	73.3341	HSK1
75	别	213294	213285	1934	73.5685	HSK1
76	再	210382	210382	961	73.7998	HSK1
77	它	208710	208710	376	74.0291	HSK2
78	着	207480	207480	980	74.2572	HSK1
79	多	207408	207295	4231	74.4851	HSK1
80	回	202981	202979	1622	74.7082	HSK1
81	果	202727	202727	601	74.9310	HSK1
82	该	200314	200296	672	75.1511	HSK2
83	所	196196	196113	1165	75.3667	HSK2
84	然	194494	194489	554	75.5805	HSK2
85	被	191898	191898	407	75.7914	HSK3
86	自	190110	190071	1280	76.0003	HSK2
87	等	188813	153727	403	76.2078	HSK1
88	找	188137	188113	1276	76.4146	HSK1
89	子	186464	186464	3505	76.6195	HSK1
90	听	186421	184725	646	76.8244	HSK1
91	谁	183212	183212	80	77.0258	HSK1
92	家	181400	181397	3127	77.2251	HSK1
93	已	175517	175517	674	77.4180	HSK2
94	话	175457	175454	679	77.6109	HSK1
95	先	175370	175370	1513	77.8036	HSK1
96	当	174976	174975	1921	77.9959	HSK2
97	经	172630	172630	776	78.1856	HSK2
98	大	170434	170363	5562	78.3729	HSK1
99	妈	169682	114876	574	78.5594	HSK1
100	告	168976	168976	462	78.7451	HSK1
101	像	167005	166995	755	78.9287	HSK2
102	出	164717	164713	2889	79.1097	HSK1
103	己	163545	163545	304	79.2894	HSK2
104	因	163491	163491	710	79.4691	HSK2
105	诉	159943	159943	161	79.6449	HSK1
106	定	157018	157018	941	79.8174	HSK2
107	见	156693	156024	1087	79.9896	HSK1
108	最	155579	155572	669	80.1606	HSK1
109	觉	155028	155028	253	80.3310	HSK1
110	哪	153814	153814	447	80.5001	HSK1
111	用	150907	150906	2220	80.6659	HSK1
112	死	144989	144987	1892	80.8252	HSK3
113	欢	142707	142707	253	80.9821	HSK1
