char	hsk_level	hskk_tier
我	HSK1	HSKK_elementary
的	HSK1	HSKK_elementary
你	HSK1	HSKK_elementary
是	HSK1	HSKK_elementary
了	HSK1	HSKK_elementary
不	HSK1	HSKK_elementary
们	HSK1	HSKK_elementary
这	HSK1	HSKK_elementary
他	HSK1	HSKK_elementary
在	HSK1	HSKK_elementary
么	HSK1	HSKK_elementary
有	HSK1	HSKK_elementary
一	HSK1	HSKK_elementary
个	HSK1	HSKK_elementary
要	HSK1	HSKK_elementary
好	HSK1	HSKK_elementary
什	HSK1	HSKK_elementary
吗	HSK1	HSKK_elementary
就	HSK1	HSKK_elementary
来	HSK1	HSKK_elementary
那	HSK1	HSKK_elementary
会	HSK1	HSKK_elementary
没	HSK1	HSKK_elementary
说	HSK1	HSKK_elementary
人	HSK1	HSKK_elementary
到	HSK1	HSKK_elementary
吧	HSK1	HSKK_elementary
去	HSK1	HSKK_elementary
为	HSK2	HSKK_elementary
她	HSK1	HSKK_elementary
想	HSK1	HSKK_elementary
道	HSK1	HSKK_elementary
知	HSK1	HSKK_elementary
能	HSK1	HSKK_elementary
很	HSK1	HSKK_elementary
都	HSK1	HSKK_elementary
看	HSK1	HSKK_elementary
还	HSK1	HSKK_elementary
可	HSK2	HSKK_elementary
以	HSK2	HSKK_elementary
里	HSK1	HSKK_elementary
也	HSK1	HSKK_elementary
对	HSK1	HSKK_elementary
样	HSK1	HSKK_elementary
啊	HSK2	HSKK_elementary
得	HSK1	HSKK_elementary
怎	HSK1	HSKK_elementary
过	HSK1	HSKK_elementary
事	HSK1	HSKK_elementary
和	HSK1	HSKK_elementary
上	HSK1	HSKK_elementary
把	HSK3	HSKK_intermediate
给	HSK1	HSKK_elementary
做	HSK1	HSKK_elementary
让	HSK2	HSKK_elementary
现	HSK1	HSKK_elementary
真	HSK1	HSKK_elementary
但	HSK2	HSKK_elementary
谢	HSK1	HSKK_elementary
只	HSK2	HSKK_elementary
时	HSK1	HSKK_elementary
生	HSK1	HSKK_elementary
起	HSK1	HSKK_elementary
走	HSK1	HSKK_elementary
下	HSK1	HSKK_elementary
如	HSK2	HSKK_elementary
呢	HSK1	HSKK_elementary
些	HSK1	HSKK_elementary
点	HSK1	HSKK_elementary
开	HSK1	HSKK_elementary
跟	HSK1	HSKK_elementary
天	HSK1	HSKK_elementary
后	HSK1	HSKK_elementary
快	HSK1	HSKK_elementary
别	HSK1	HSKK_elementary
它	HSK2	HSKK_elementary
着	HSK1	HSKK_elementary
再	HSK1	HSKK_elementary
多	HSK1	HSKK_elementary
果	HSK1	HSKK_elementary
回	HSK1	HSKK_elementary
该	HSK2	HSKK_elementary
所	HSK2	HSKK_elementary
然	HSK2	HSKK_elementary
被	HSK3	HSKK_intermediate
自	HSK2	HSKK_elementary
找	HSK1	HSKK_elementary
听	HSK1	HSKK_elementary
子	HSK1	HSKK_elementary
等	HSK1	HSKK_elementary
谁	HSK1	HSKK_elementary
家	HSK1	HSKK_elementary
先	HSK1	HSKK_elementary
已	HSK2	HSKK_elementary
当	HSK2	HSKK_elementary
告	HSK1	HSKK_elementary
经	HSK2	HSKK_elementary
话	HSK1	HSKK_elementary
妈	HSK1	HSKK_elementary
大	HSK1	HSKK_elementary
像	HSK2	HSKK_elementary
诉	HSK1	HSKK_elementary
己	HSK2	HSKK_elementary
出	HSK1	HSKK_elementary
因	HSK2	HSKK_elementary
见	HSK1	HSKK_elementary
定	HSK2	HSKK_elementary
觉	HSK1	HSKK_elementary
哪	HSK1	HSKK_elementary
最	HSK1	HSKK_elementary
用	HSK1	HSKK_elementary
死	HSK3	HSKK_intermediate
问	HSK1	HSKK_elementary
欢	HSK1	HSKK_elementary
从	HSK1	HSKK_elementary
小	HSK1	HSKK_elementary
意	HSK2	HSKK_elementary
叫	HSK1	HSKK_elementary
喜	HSK1	HSKK_elementary
儿	HSK1	HSKK_elementary
而	HSK2	HSKK_elementary
请	HSK1	HSKK_elementary
西	HSK1	HSKK_elementary
地	HSK1	HSKK_elementary
才	HSK2	HSKK_elementary
东	HSK1	HSKK_elementary
孩	HSK1	HSKK_elementary
又	HSK2	HSKK_elementary
打	HSK1	HSKK_elementary
应	HSK2	HSKK_elementary
候	HSK1	HSKK_elementary
发	HSK2	HSKK_elementary
需	HSK3	HSKK_intermediate
前	HSK1	HSKK_elementary
明	HSK1	HSKK_elementary
爱	HSK1	HSKK_elementary
帮	HSK1	HSKK_elementary
爸	HSK1	HSKK_elementary
心	HSK2	HSKK_elementary
太	HSK1	HSKK_elementary
干	HSK1	HSKK_elementary
错	HSK1	HSKK_elementary
今	HSK1	HSKK_elementary
间	HSK1	HSKK_elementary
认	HSK1	HSKK_elementary
女	HSK1	HSKK_elementary
方	HSK1	HSKK_elementary
次	HSK1	HSKK_elementary
行	HSK1	HSKK_elementary
题	HSK2	HSKK_elementary
情	HSK2	HSKK_elementary
拿	HSK1	HSKK_elementary
吃	HSK1	HSKK_elementary
作	HSK1	HSKK_elementary
中	HSK1	HSKK_elementary
直	HSK2	HSKK_elementary
哦	HSK7-9	
始	HSK3	HSKK_intermediate
面	HSK1	HSKK_elementary
之	HSK4	HSKK_intermediate
信	HSK2	HSKK_elementary
何	HSK3	HSKK_intermediate
友	HSK1	HSKK_elementary
种	HSK3	HSKK_intermediate
离	HSK2	HSKK_elementary
正	HSK1	HSKK_elementary
带	HSK2	HSKK_elementary
朋	HSK1	HSKK_elementary
望	HSK3	HSKK_intermediate
相	HSK2	HSKK_elementary
工	HSK1	HSKK_elementary
将	HSK3	HSKK_intermediate
进	HSK1	HSKK_elementary
成	HSK2	HSKK_elementary
白	HSK1	HSKK_elementary
更	HSK2	HSKK_elementary
希	HSK3	HSKK_intermediate
感	HSK2	HSKK_elementary
晚	HSK1	HSKK_elementary
钱	HSK1	HSKK_elementary
亲	HSK3	HSKK_intermediate
许	HSK2	HSKK_elementary
法	HSK2	HSKK_elementary
杀	HSK5	HSKK_advanced
准	HSK1	HSKK_elementary
常	HSK1	HSKK_elementary
思	HSK2	HSKK_elementary
放	HSK1	HSKK_elementary
必	HSK2	HSKK_elementary
比	HSK1	HSKK_elementary
备	HSK1	HSKK_elementary
年	HSK1	HSKK_elementary
记	HSK1	HSKK_elementary
关	HSK1	HSKK_elementary
全	HSK2	HSKK_elementary
电	HSK1	HSKK_elementary
住	HSK1	HSKK_elementary
切	HSK3	HSKK_intermediate
呀	HSK4	HSKK_intermediate
两	HSK1	HSKK_elementary
其	HSK2	HSKK_elementary
非	HSK1	HSKK_elementary
或	HSK2	HSKK_elementary
任	HSK3	HSKK_intermediate
完	HSK2	HSKK_elementary
须	HSK2	HSKK_elementary
啦	HSK6	HSKK_advanced
嘛	HSK6	HSKK_advanced
嗯		
