hskk_tier	word	hsk_level
HSKK 高级	一下儿	HSK1
HSKK 高级	一下子	HSK5
HSKK 高级	一代	HSK6
HSKK 高级	一口气	HSK5
HSKK 高级	一句话	HSK5
HSKK 高级	一同	HSK6
HSKK 高级	一向	HSK5
HSKK 高级	一带	HSK5
HSKK 高级	一旦	HSK5
HSKK 高级	一时	HSK6
HSKK 高级	一模一样	HSK6
HSKK 高级	一次性	HSK6
HSKK 高级	一流	HSK5
HSKK 高级	一番	HSK6
HSKK 高级	一行	HSK6
HSKK 高级	一贯	HSK6
HSKK 高级	一路	HSK5
HSKK 高级	一路上	HSK6
HSKK 高级	一身	HSK5
HSKK 高级	一辈子	HSK5
HSKK 高级	一道	HSK6
HSKK 高级	一齐	HSK6
HSKK 高级	三明治	HSK6
HSKK 高级	上下	HSK5
HSKK 高级	上台	HSK6
HSKK 高级	上市	HSK6
HSKK 高级	上帝	HSK6
HSKK 高级	上当	HSK6
HSKK 高级	上涨	HSK5
HSKK 高级	上演	HSK6
HSKK 高级	上级	HSK5
HSKK 高级	不仅仅	HSK6
HSKK 高级	不便	HSK6
HSKK 高级	不值	HSK6
HSKK 高级	不停	HSK5
HSKK 高级	不免	HSK5
HSKK 高级	不再	HSK6
HSKK 高级	不利	HSK5
HSKK 高级	不幸	HSK5
HSKK 高级	不得了	HSK5
HSKK 高级	不怎么	HSK6
HSKK 高级	不怎么样	HSK6
HSKK 高级	不成	HSK6
HSKK 高级	不敢当	HSK5
HSKK 高级	不料	HSK6
HSKK 高级	不时	HSK5
HSKK 高级	不易	HSK5
HSKK 高级	不曾	HSK5
HSKK 高级	不止	HSK5
HSKK 高级	不禁	HSK6
HSKK 高级	不耐烦	HSK5
HSKK 高级	不能不	HSK5
HSKK 高级	不至于	HSK6
HSKK 高级	不良	HSK5
HSKK 高级	不见	HSK6
HSKK 高级	不许	HSK5
HSKK 高级	不足	HSK5
HSKK 高级	不通	HSK6
HSKK 高级	不顾	HSK5
HSKK 高级	与	HSK6
HSKK 高级	丑	HSK5
HSKK 高级	专利	HSK5
HSKK 高级	专用	HSK6
HSKK 高级	专辑	HSK5
HSKK 高级	业务	HSK5
HSKK 高级	丢	HSK5
HSKK 高级	两侧	HSK6
HSKK 高级	两岸	HSK5
