char	freq	hsk_level
哈	9	HSK3
国	6	HSK1
周	6	HSK2
哎	6	HSK7-9
丽	5	HSK3
文	5	HSK1
学	5	HSK1
您	5	HSK1
忘	5	HSK1
设	4	HSK3
计	4	HSK2
咖	4	HSK3
啡	4	HSK3
叔	4	HSK4
奶	4	HSK1
约	4	HSK3
麻	4	HSK3
识	3	HSK1
师	3	HSK1
末	3	HSK2
六	3	HSK1
几	3	HSK1
嗨	3	
阿	3	HSK4
姨	3	HSK4
海	2	HSK2
喝	2	HSK1
近	2	HSK2
店	2	HSK1
客	2	HSK1
气	2	HSK1
坐	2	HSK1
孤	2	HSK6
独	2	HSK4
爷	2	HSK1
妹	2	HSK1
红	2	HSK2
哥	2	HSK1
试	2	HSK1
慢	2	HSK1
喂	2	HSK2
忙	2	HSK1
韩	2	HSK7-9
紧	2	HSK3
张	2	HSK3
月	2	HSK1
底	2	HSK3
结	2	HSK2
婚	2	HSK3
笑	1	HSK1
早	1	HSK1
老	1	HSK1
午	1	HSK1
附	1	HSK4
址	1	HSK4
杯	1	HSK1
厉	1	HSK5
害	1	HSK3
差	1	HSK1
化	1	HSK3
公	1	HSK2
司	1	HSK2
累	1	HSK1
影	1	HSK1
美	1	HSK3
新	1	HSK1
外	1	HSK1
挺	1	HSK2
迎	1	HSK2
饭	1	HSK1
饺	1	HSK2
哇	1	HSK6
筷	1	HSK2
系	1	HSK1
三	1	HSK1
半	1	HSK1
马	1	HSK1
久	1	HSK2
第	1	HSK1
名	1	HSK1
字	1	HSK1
重	1	HSK1
父	1	HSK3
母	1	HSK3
件	1	HSK2
