word	freq	hsk_level	hskk_tier
我	38	HSK1	HSKK_elementary
啊	36	HSK2	HSKK_elementary
你	33	HSK1	HSKK_elementary
了	23	HSK1	HSKK_elementary
是	21	HSK1	HSKK_elementary
啦	19	HSK6	HSKK_advanced
吗	16	HSK1	HSKK_elementary
好	16	HSK1	HSKK_elementary
真的	16	HSK1	HSKK_elementary
呢	15	HSK1	HSKK_elementary
嗯	15		
的	13	HSK1	HSKK_elementary
那	11	HSK1	HSKK_elementary
吧	11	HSK1	HSKK_elementary
在	10	HSK1	HSKK_elementary
什么	10	HSK1	HSKK_elementary
来	9	HSK1	HSKK_elementary
我们	9	HSK1	HSKK_elementary
哦	8	HSK7-9	
还	7	HSK1	HSKK_elementary
这	7	HSK1	HSKK_elementary
不	7	HSK1	HSKK_elementary
不是	7		
想	6	HSK1	HSKK_elementary
可以	6	HSK2	HSKK_elementary
人	6	HSK1	HSKK_elementary
做	6	HSK1	HSKK_elementary
哎呀	6	HSK7-9	
很	6	HSK1	HSKK_elementary
喜欢	6	HSK1	HSKK_elementary
真	5	HSK1	HSKK_elementary
小丽	5		
也	5	HSK1	HSKK_elementary
就	5	HSK1	HSKK_elementary
见	5	HSK1	HSKK_elementary
呀	5	HSK4	HSKK_intermediate
没事	5		
都	5	HSK1	HSKK_elementary
会	5	HSK1	HSKK_elementary
怎么	5	HSK1	HSKK_elementary
现在	5	HSK1	HSKK_elementary
好看	4	HSK1	HSKK_elementary
叫	4	HSK1	HSKK_elementary
中文	4	HSK1	HSKK_elementary
哪里	4	HSK1	HSKK_elementary
谢谢	4	HSK1	HSKK_elementary
一个	4		
说	4	HSK1	HSKK_elementary
这样	4	HSK2	HSKK_elementary
忘	4	HSK1	HSKK_elementary
麻	4	HSK7-9	
认识	3	HSK1	HSKK_elementary
当然	3	HSK3	HSKK_intermediate
学	3	HSK1	HSKK_elementary
中国	3	HSK1	HSKK_elementary
时候	3	HSK1	HSKK_elementary
周末	3	HSK2	HSKK_elementary
周六	3		
对不起	3	HSK1	HSKK_elementary
太	3	HSK1	HSKK_elementary
嗨	3		
有点	3		
谢谢您	3		
阿姨	3	HSK4	HSKK_intermediate
约定	3	HSK6	HSKK_advanced
你好	2		
上海	2		
去	2	HSK1	HSKK_elementary
工作	2	HSK1	HSKK_elementary
设计	2	HSK3	HSKK_intermediate
设计师	2	HSK6	HSKK_advanced
一起	2	HSK1	HSKK_elementary
怎么样	2	HSK2	HSKK_elementary
几点	2		
两点	2		
哪儿	2	HSK1	HSKK_elementary
咖啡店	2		
客气	2	HSK5	HSKK_advanced
可爱	2	HSK2	HSKK_elementary
才	2	HSK2	HSKK_elementary
到	2	HSK1	HSKK_elementary
真不错	2		
坐	2	HSK1	HSKK_elementary
一样	2	HSK1	HSKK_elementary
不错	2	HSK2	HSKK_elementary
一定	2	HSK2	HSKK_elementary
一年	2		
还好	2		
爸爸妈妈	2		
孤独	2	HSK6	HSKK_advanced
那么	2	HSK2	HSKK_elementary
您好	2		
家	2	HSK1	HSKK_elementary
叔叔	2	HSK4	HSKK_intermediate
奶奶	2	HSK1	HSKK_elementary
小红	2		
嘛	2	HSK6	HSKK_advanced
那个	2		
妈	2	HSK1	HSKK_elementary
别	2	HSK1	HSKK_elementary
喂	2	HSK2	HSKK_elementary
有	2	HSK1	HSKK_elementary
已经	2	HSK2	HSKK_elementary
意思	2	HSK2	HSKK_elementary
等	2	HSK1	HSKK_elementary
记得	2	HSK1	HSKK_elementary
韩国	2		
月底	2	HSK4	HSKK_intermediate
结婚	2	HSK3	HSKK_intermediate
走	2	HSK1	HSKK_elementary
笑	1	HSK1	HSKK_elementary
得	1	HSK2	HSKK_elementary
没定	1		
早点	1		
老师	1	HSK1	HSKK_elementary
要	1	HSK1	HSKK_elementary
不要	1	HSK2	HSKK_elementary
喝咖啡	1		
这个	1		
下午	1	HSK1	HSKK_elementary
附近	1	HSK4	HSKK_intermediate
有家	1		
太好了	1		
给	1	HSK1	HSKK_elementary
发	1	HSK2	HSKK_elementary
地址	1	HSK4	HSKK_intermediate
不好意思	1	HSK2	HSKK_elementary
晚	1	HSK1	HSKK_elementary
这里	1	HSK1	HSKK_elementary
这家	1		
你常来	1		
喝	1	HSK1	HSKK_elementary
我要	1		
一杯	1		
咖啡吧	1		
我学	1		
两年	1		
厉害	1	HSK5	HSKK_advanced
差	1	HSK1	HSKK_elementary
为什么	1	HSK2	HSKK_elementary
就是	1	HSK3	HSKK_intermediate
文化	1	HSK3	HSKK_intermediate
一家	1		
公司	1	HSK2	HSKK_elementary
有意思	1	HSK2	HSKK_elementary
有时候	1	HSK1	HSKK_elementary
累	1	HSK1	HSKK_elementary
看	1	HSK1	HSKK_elementary
电影	1	HSK1	HSKK_elementary
美	1	HSK3	HSKK_intermediate
里	1	HSK1	HSKK_elementary
更	1	HSK2	HSKK_elementary
自然	1	HSK3	HSKK_intermediate
哈哈	1	HSK3	HSKK_intermediate
学到	1		
新	1	HSK1	HSKK_elementary
说法	1	HSK5	HSKK_advanced
几年	1		
想家	1		
不过	1	HSK2	HSKK_elementary
你家	1		
国外	1	HSK1	HSKK_elementary
挺	1	HSK2	HSKK_elementary
我来	1		
快进来	1		
欢迎	1	HSK2	HSKK_elementary
不用	1	HSK1	HSKK_elementary
爷爷	1	HSK1	HSKK_elementary
孩子	1	HSK1	HSKK_elementary
妹妹	1	HSK1	HSKK_elementary
哥哥	1	HSK1	HSKK_elementary
吃饭	1	HSK1	HSKK_elementary
要说	1		
饺子	1	HSK2	HSKK_elementary
试试	1		
哇	1	HSK6	HSKK_advanced
好吃	1	HSK1	HSKK_elementary
多吃点	1		
你会用	1		
筷子	1	HSK2	HSKK_elementary
一点	1		
不太好	1		
没关系	1	HSK1	HSKK_elementary
慢慢来	1	HSK7-9	
女儿	1	HSK1	HSKK_elementary
上	1	HSK1	HSKK_elementary
真好	1		
好好	1	HSK3	HSKK_intermediate
常来	1		
知道	1	HSK1	HSKK_elementary
今天	1	HSK1	HSKK_elementary
约会	1	HSK4	HSKK_intermediate
