word	freq	hsk_level_if_any
嗯	15	
哦	8	HSK7-9
不是	7	
哎呀	6	HSK7-9
小丽	5	
没事	5	
一个	4	
麻	4	HSK7-9
周六	3	
嗨	3	
有点	3	
谢谢您	3	
你好	2	
上海	2	
几点	2	
两点	2	
咖啡店	2	
真不错	2	
一年	2	
还好	2	
爸爸妈妈	2	
您好	2	
小红	2	
那个	2	
韩国	2	
没定	1	
早点	1	
喝咖啡	1	
这个	1	
有家	1	
太好了	1	
这家	1	
你常来	1	
我要	1	
一杯	1	
咖啡吧	1	
我学	1	
两年	1	
一家	1	
学到	1	
几年	1	
想家	1	
你家	1	
我来	1	
快进来	1	
要说	1	
试试	1	
多吃点	1	
你会用	1	
一点	1	
不太好	1	
慢慢来	1	HSK7-9
真好	1	
常来	1	
三点	1	
很忙	1	
妈呀	1	
哈哈哈哈	1	
快点	1	
半个	1	
真对不起	1	
不会	1	
过得	1	
真快	1	
第一次	1	
别说	1	HSK7-9
好不好	1	
一件	1	
哈哈哈	1	
太紧张	1	
别忘了	1	
