hskk_tier	word	hsk_level
HSKK 初级	〇	HSK1
HSKK 初级	一	HSK1
HSKK 初级	一下儿	HSK1
HSKK 初级	一些	HSK1
HSKK 初级	一会儿	HSK1
HSKK 初级	一共	HSK2
HSKK 初级	一半	HSK1
HSKK 初级	一块儿	HSK1
HSKK 初级	一点儿	HSK1
HSKK 初级	一点点	HSK2
HSKK 初级	一生	HSK2
HSKK 初级	一直	HSK2
HSKK 初级	一般	HSK2
HSKK 初级	一路平安	HSK2
HSKK 初级	一路顺风	HSK2
HSKK 初级	一边	HSK1
HSKK 初级	一部分	HSK2
HSKK 初级	七	HSK1
HSKK 初级	万	HSK2
HSKK 初级	三	HSK1
HSKK 初级	上午	HSK1
HSKK 初级	上周	HSK2
HSKK 初级	上学	HSK1
HSKK 初级	上次	HSK1
HSKK 初级	上班	HSK1
HSKK 初级	上网	HSK1
HSKK 初级	上课	HSK1
HSKK 初级	上车	HSK1
HSKK 初级	上边	HSK1
HSKK 初级	下	HSK1
HSKK 初级	下周	HSK2
HSKK 初级	下班	HSK1
HSKK 初级	下课	HSK1
HSKK 初级	下车	HSK1
HSKK 初级	下边	HSK1
HSKK 初级	下雨	HSK1
HSKK 初级	下雪	HSK2
HSKK 初级	不一会儿	HSK2
HSKK 初级	不一定	HSK2
HSKK 初级	不久	HSK2
HSKK 初级	不但	HSK2
HSKK 初级	不同	HSK2
HSKK 初级	不够	HSK2
HSKK 初级	不大	HSK1
HSKK 初级	不太	HSK2
HSKK 初级	不如	HSK2
HSKK 初级	不客气	HSK1
HSKK 初级	不对	HSK1
HSKK 初级	不少	HSK2
HSKK 初级	不满	HSK2
HSKK 初级	不行	HSK2
HSKK 初级	东	HSK1
HSKK 初级	东北	HSK2
HSKK 初级	东南	HSK2
HSKK 初级	东方	HSK2
HSKK 初级	东西	HSK1
HSKK 初级	东边	HSK1
HSKK 初级	两	HSK1
HSKK 初级	个	HSK1
HSKK 初级	个子	HSK2
HSKK 初级	中	HSK1
HSKK 初级	中医	HSK2
HSKK 初级	中午	HSK1
HSKK 初级	中学	HSK1
HSKK 初级	中学生	HSK1
HSKK 初级	中小学	HSK2
HSKK 初级	中年	HSK2
HSKK 初级	中心	HSK2
HSKK 初级	中级	HSK2
HSKK 初级	中间	HSK1
HSKK 初级	中餐	HSK2
HSKK 初级	为	HSK2
HSKK 初级	主人	HSK2
HSKK 初级	主要	HSK2
HSKK 初级	举	HSK2
HSKK 初级	举手	HSK2
HSKK 初级	举行	HSK2
HSKK 初级	九	HSK1
HSKK 初级	也许	HSK2
HSKK 初级	习惯	HSK2
HSKK 初级	书	HSK1
HSKK 初级	书包	HSK1
HSKK 初级	书店	HSK1
HSKK 初级	买	HSK1
HSKK 初级	事情	HSK2
HSKK 初级	二	HSK1
HSKK 初级	云	HSK2
HSKK 初级	五	HSK1
HSKK 初级	交	HSK2
HSKK 初级	交朋友	HSK2
HSKK 初级	交给	HSK2
HSKK 初级	交通	HSK2
HSKK 初级	亮	HSK2
HSKK 初级	人们	HSK2
HSKK 初级	人口	HSK2
HSKK 初级	人数	HSK2
HSKK 初级	亿	HSK2
HSKK 初级	什么样	HSK2
HSKK 初级	今后	HSK2
HSKK 初级	今年	HSK1
HSKK 初级	介绍	HSK1
HSKK 初级	从	HSK1
HSKK 初级	从小	HSK2
HSKK 初级	他	HSK1
HSKK 初级	以上	HSK2
HSKK 初级	以下	HSK2
HSKK 初级	以为	HSK2
HSKK 初级	以前	HSK2
HSKK 初级	以外	HSK2
HSKK 初级	们（朋友们）	HSK1
HSKK 初级	件	HSK2
HSKK 初级	份	HSK2
HSKK 初级	休假	HSK2
HSKK 初级	休息	HSK1
HSKK 初级	但	HSK2
HSKK 初级	但是	HSK2
HSKK 初级	位	HSK2
HSKK 初级	低	HSK2
HSKK 初级	住	HSK1
HSKK 初级	住房	HSK2
HSKK 初级	住院	HSK2
HSKK 初级	体育	HSK2
HSKK 初级	体育场	HSK2
HSKK 初级	体育馆	HSK2
HSKK 初级	作业	HSK2
HSKK 初级	作家	HSK2
HSKK 初级	作文	HSK2
HSKK 初级	作用	HSK2
HSKK 初级	你们	HSK1
HSKK 初级	使用	HSK2
HSKK 初级	例如	HSK2
HSKK 初级	例子	HSK2
HSKK 初级	便宜	HSK2
HSKK 初级	信	HSK2
HSKK 初级	信号	HSK2
HSKK 初级	信心	HSK2
HSKK 初级	信息	HSK2
HSKK 初级	信用卡	HSK2
HSKK 初级	倒	HSK2
HSKK 初级	借	HSK2
HSKK 初级	假	HSK2
HSKK 初级	假期	HSK2
HSKK 初级	做到	HSK2
HSKK 初级	做法	HSK2
HSKK 初级	做饭	HSK2
HSKK 初级	停	HSK2
HSKK 初级	停车	HSK2
HSKK 初级	停车场	HSK2
HSKK 初级	健康	HSK2
HSKK 初级	像	HSK2
HSKK 初级	儿子	HSK1
HSKK 初级	元	HSK1
HSKK 初级	先	HSK1
HSKK 初级	先生	HSK1
HSKK 初级	克	HSK2
HSKK 初级	入口	HSK2
HSKK 初级	全	HSK2
HSKK 初级	全体	HSK2
HSKK 初级	全国	HSK2
HSKK 初级	全家	HSK2
HSKK 初级	全年	HSK2
HSKK 初级	全身	HSK2
HSKK 初级	全部	HSK2
HSKK 初级	八	HSK1
HSKK 初级	公交车	HSK2
HSKK 初级	公共汽车	HSK2
HSKK 初级	公园	HSK2
HSKK 初级	公平	HSK2
HSKK 初级	公斤	HSK2
HSKK 初级	公路	HSK2
HSKK 初级	公里	HSK2
HSKK 初级	六	HSK1
HSKK 初级	关	HSK1
HSKK 初级	关上	HSK1
HSKK 初级	关心	HSK2
HSKK 初级	关机	HSK2
HSKK 初级	其中	HSK2
HSKK 初级	其他	HSK2
HSKK 初级	养	HSK2
HSKK 初级	再	HSK1
HSKK 初级	再见	HSK1
HSKK 初级	写	HSK1
HSKK 初级	冬天	HSK2
HSKK 初级	冷	HSK1
HSKK 初级	准备	HSK1
HSKK 初级	准确	HSK2
HSKK 初级	凉	HSK2
HSKK 初级	凉快	HSK2
HSKK 初级	几	HSK1
HSKK 初级	出	HSK1
HSKK 初级	出去	HSK1
HSKK 初级	出发	HSK2
HSKK 初级	出口	HSK2
HSKK 初级	出国	HSK2
HSKK 初级	出来	HSK1
HSKK 初级	出现	HSK2
HSKK 初级	出生	HSK2
HSKK 初级	出租	HSK2
HSKK 初级	出租车	HSK2
HSKK 初级	出门	HSK2
HSKK 初级	出院	HSK2
HSKK 初级	分	HSK1
HSKK 初级	分开	HSK2
HSKK 初级	分数	HSK2
HSKK 初级	分钟	HSK2
HSKK 初级	刚	HSK2
HSKK 初级	刚刚	HSK2
HSKK 初级	刚才	HSK2
HSKK 初级	别人	HSK1
HSKK 初级	别的	HSK1
HSKK 初级	到处	HSK2
HSKK 初级	刻	HSK2
HSKK 初级	前	HSK1
HSKK 初级	前天	HSK1
HSKK 初级	前年	HSK2
HSKK 初级	前边	HSK1
HSKK 初级	办	HSK2
HSKK 初级	办公室	HSK2
HSKK 初级	办法	HSK2
HSKK 初级	加	HSK2
HSKK 初级	加油	HSK2
HSKK 初级	动	HSK1
HSKK 初级	动作	HSK1
HSKK 初级	动物	HSK2
HSKK 初级	动物园	HSK2
HSKK 初级	努力	HSK2
HSKK 初级	包	HSK1
HSKK 初级	包子	HSK1
HSKK 初级	北	HSK1
HSKK 初级	北京	HSK1
HSKK 初级	北方	HSK2
HSKK 初级	北边	HSK1
HSKK 初级	医生	HSK1
HSKK 初级	医院	HSK1
HSKK 初级	十	HSK1
HSKK 初级	十分	HSK2
HSKK 初级	千	HSK2
HSKK 初级	千克	HSK2
HSKK 初级	午睡	HSK2
HSKK 初级	午餐	HSK2
HSKK 初级	午饭	HSK1
HSKK 初级	半	HSK1
HSKK 初级	半夜	HSK2
HSKK 初级	半天	HSK1
HSKK 初级	半年	HSK1
HSKK 初级	单位	HSK2
HSKK 初级	卖	HSK2
HSKK 初级	南	HSK1
HSKK 初级	南方	HSK2
HSKK 初级	南边	HSK1
HSKK 初级	占	HSK2
HSKK 初级	卡	HSK2
HSKK 初级	原因	HSK2
HSKK 初级	原来	HSK2
HSKK 初级	去年	HSK1
HSKK 初级	参加	HSK2
HSKK 初级	参观	HSK2
HSKK 初级	又	HSK2
HSKK 初级	友好	HSK2
HSKK 初级	发现	HSK2
HSKK 初级	取	HSK2
HSKK 初级	取得	HSK2
HSKK 初级	受到	HSK2
HSKK 初级	变	HSK2
HSKK 初级	变成	HSK2
HSKK 初级	口	HSK1
HSKK 初级	句	HSK2
HSKK 初级	句子	HSK2
HSKK 初级	只	HSK2
HSKK 初级	只能	HSK2
HSKK 初级	只要	HSK2
HSKK 初级	叫作	HSK2
HSKK 初级	可怕	HSK2
HSKK 初级	可是	HSK2
HSKK 初级	可能	HSK2
HSKK 初级	右	HSK1
HSKK 初级	右边	HSK1
HSKK 初级	号	HSK1
HSKK 初级	司机	HSK2
HSKK 初级	吃	HSK1
HSKK 初级	合适	HSK2
HSKK 初级	同事	HSK2
HSKK 初级	同学	HSK1
HSKK 初级	同时	HSK2
HSKK 初级	同样	HSK2
HSKK 初级	名	HSK2
HSKK 初级	名单	HSK2
HSKK 初级	名称	HSK2
HSKK 初级	后	HSK1
HSKK 初级	后天	HSK1
HSKK 初级	后来	HSK2
HSKK 初级	后边	HSK1
HSKK 初级	向	HSK2
HSKK 初级	听	HSK1
HSKK 初级	听写	HSK1
HSKK 初级	听到	HSK1
HSKK 初级	听见	HSK1
HSKK 初级	听讲	HSK2
HSKK 初级	听说	HSK2
HSKK 初级	吹	HSK2
HSKK 初级	告诉	HSK1
HSKK 初级	周	HSK2
HSKK 初级	周年	HSK2
HSKK 初级	味道	HSK2
HSKK 初级	咱	HSK2
HSKK 初级	咱们	HSK2
HSKK 初级	响	HSK2
HSKK 初级	哥	HSK1
HSKK 初级	哪	HSK1
HSKK 初级	哪些	HSK1
HSKK 初级	哭	HSK2
HSKK 初级	唱	HSK1
HSKK 初级	唱歌	HSK1
HSKK 初级	商人	HSK2
HSKK 初级	商场	HSK1
HSKK 初级	商店	HSK1
HSKK 初级	商量	HSK2
HSKK 初级	喊	HSK2
HSKK 初级	嘴	HSK2
HSKK 初级	四	HSK1
HSKK 初级	回	HSK1
HSKK 初级	回到	HSK1
HSKK 初级	回去	HSK1
HSKK 初级	回国	HSK2
HSKK 初级	回家	HSK1
HSKK 初级	回来	HSK1
HSKK 初级	回答	HSK1
HSKK 初级	因为	HSK2
HSKK 初级	国	HSK1
HSKK 初级	国家	HSK1
HSKK 初级	国际	HSK2
HSKK 初级	图书馆	HSK1
HSKK 初级	图片	HSK2
HSKK 初级	在家	HSK1
HSKK 初级	地	HSK1
HSKK 初级	地上	HSK1
HSKK 初级	地图	HSK1
HSKK 初级	地方	HSK1
HSKK 初级	地点	HSK1
HSKK 初级	地球	HSK2
HSKK 初级	地铁	HSK2
HSKK 初级	地铁站	HSK2
HSKK 初级	场	HSK2
HSKK 初级	坏	HSK1
HSKK 初级	坏人	HSK2
HSKK 初级	坏处	HSK2
HSKK 初级	坐下	HSK1
HSKK 初级	块	HSK1
HSKK 初级	墙	HSK2
HSKK 初级	声音	HSK2
HSKK 初级	复习	HSK2
HSKK 初级	夏天	HSK2
HSKK 初级	外	HSK1
HSKK 初级	外卖	HSK2
HSKK 初级	外国	HSK1
HSKK 初级	外地	HSK2
HSKK 初级	外语	HSK1
HSKK 初级	外边	HSK1
HSKK 初级	多	HSK1
HSKK 初级	多么	HSK2
HSKK 初级	多云	HSK2
HSKK 初级	多少	HSK1
HSKK 初级	多数	HSK2
HSKK 初级	夜	HSK2
HSKK 初级	夜里	HSK2
HSKK 初级	够	HSK2
HSKK 初级	大	HSK1
HSKK 初级	大人	HSK2
HSKK 初级	大声	HSK2
HSKK 初级	大多数	HSK2
HSKK 初级	大大	HSK2
HSKK 初级	大学	HSK1
HSKK 初级	大学生	HSK1
HSKK 初级	大小	HSK2
HSKK 初级	大海	HSK2
HSKK 初级	大自然	HSK2
HSKK 初级	大衣	HSK2
HSKK 初级	大部分	HSK2
HSKK 初级	大量	HSK2
HSKK 初级	大门	HSK2
HSKK 初级	天	HSK1
HSKK 初级	天上	HSK2
HSKK 初级	天气	HSK1
HSKK 初级	太太	HSK2
HSKK 初级	太阳	HSK2
HSKK 初级	头	HSK2
HSKK 初级	头发	HSK2
HSKK 初级	头（里头）	HSK2
HSKK 初级	套	HSK2
