hskk_tier	word	hsk_level
HSKK 中级	…分之…	HSK4
HSKK 中级	…极了	HSK3
HSKK 中级	一再	HSK4
HSKK 中级	一切	HSK3
HSKK 中级	一律	HSK4
HSKK 中级	一方面	HSK3
HSKK 中级	一致	HSK4
HSKK 中级	一般来说	HSK4
HSKK 中级	万一	HSK4
HSKK 中级	丈夫	HSK4
HSKK 中级	上个月	HSK4
HSKK 中级	上升	HSK3
HSKK 中级	上去	HSK3
HSKK 中级	上来	HSK3
HSKK 中级	上楼	HSK4
HSKK 中级	上衣	HSK3
HSKK 中级	上门	HSK4
HSKK 中级	上面	HSK3
HSKK 中级	下个月	HSK4
HSKK 中级	下去	HSK3
HSKK 中级	下来	HSK3
HSKK 中级	下楼	HSK4
HSKK 中级	下载	HSK4
HSKK 中级	下降	HSK4
HSKK 中级	下面	HSK3
HSKK 中级	不仅	HSK3
HSKK 中级	不光	HSK3
HSKK 中级	不在乎	HSK4
HSKK 中级	不安	HSK3
HSKK 中级	不得不	HSK3
HSKK 中级	不必	HSK3
HSKK 中级	不断	HSK3
HSKK 中级	不然	HSK4
HSKK 中级	不管	HSK4
HSKK 中级	不要紧	HSK4
HSKK 中级	不论	HSK3
HSKK 中级	专业	HSK3
HSKK 中级	专家	HSK3
HSKK 中级	专心	HSK4
HSKK 中级	专门	HSK3
HSKK 中级	专题	HSK3
HSKK 中级	世界	HSK3
HSKK 中级	世界杯	HSK3
HSKK 中级	世纪	HSK3
HSKK 中级	业余	HSK4
HSKK 中级	东部	HSK3
HSKK 中级	两边	HSK4
HSKK 中级	严	HSK4
HSKK 中级	严格	HSK4
HSKK 中级	严重	HSK4
HSKK 中级	个人	HSK3
HSKK 中级	个体	HSK4
HSKK 中级	个别	HSK4
HSKK 中级	个性	HSK3
HSKK 中级	中介	HSK4
HSKK 中级	中华民族	HSK3
HSKK 中级	中奖	HSK4
HSKK 中级	中部	HSK3
HSKK 中级	丰富	HSK3
HSKK 中级	临时	HSK4
HSKK 中级	为	HSK2
HSKK 中级	为了	HSK3
HSKK 中级	主任	HSK3
HSKK 中级	主动	HSK3
HSKK 中级	主席	HSK4
HSKK 中级	主张	HSK3
HSKK 中级	主意	HSK3
HSKK 中级	主持	HSK3
HSKK 中级	主题	HSK4
HSKK 中级	举办	HSK3
HSKK 中级	久	HSK3
HSKK 中级	义务	HSK4
HSKK 中级	之一	HSK4
HSKK 中级	之前	HSK4
HSKK 中级	之后	HSK4
HSKK 中级	之间	HSK4
HSKK 中级	乐	HSK3
HSKK 中级	乐观	HSK3
HSKK 中级	乐趣	HSK4
HSKK 中级	乐队	HSK3
HSKK 中级	书架	HSK3
HSKK 中级	乱	HSK3
HSKK 中级	了不起	HSK4
HSKK 中级	了解	HSK4
HSKK 中级	争	HSK3
HSKK 中级	争取	HSK3
HSKK 中级	争论	HSK4
HSKK 中级	事业	HSK3
HSKK 中级	事件	HSK3
HSKK 中级	事先	HSK4
HSKK 中级	事实	HSK3
HSKK 中级	事实上	HSK3
HSKK 中级	事故	HSK3
HSKK 中级	事物	HSK4
HSKK 中级	二手	HSK4
HSKK 中级	于是	HSK4
HSKK 中级	互相	HSK3
HSKK 中级	互联网	HSK3
HSKK 中级	五颜六色	HSK4
HSKK 中级	亚运会	HSK4
HSKK 中级	些	HSK4
HSKK 中级	交往	HSK3
HSKK 中级	交换	HSK4
HSKK 中级	交易	HSK3
HSKK 中级	交流	HSK3
HSKK 中级	交警	HSK3
HSKK 中级	交费	HSK3
HSKK 中级	交际	HSK4
HSKK 中级	产品	HSK4
HSKK 中级	产生	HSK3
HSKK 中级	京剧	HSK3
HSKK 中级	亲	HSK3
HSKK 中级	亲人	HSK3
HSKK 中级	亲切	HSK3
HSKK 中级	亲密	HSK4
HSKK 中级	亲爱	HSK4
HSKK 中级	亲自	HSK3
HSKK 中级	人员	HSK3
HSKK 中级	人家	HSK4
HSKK 中级	人工	HSK3
HSKK 中级	人才	HSK3
HSKK 中级	人民	HSK3
HSKK 中级	人民币	HSK3
