lo	hi	vocab	sum_score	pct_total	hsk1	hsk2	hsk3	hsk4	hsk5	hsk6	hsk7-9	none
1	100	100	68328695	78.6752	80	18	2	0	0	0	0	0
101	300	200	12882401	14.8331	98	51	32	8	2	3	2	4
301	500	200	3007136	3.4625	42	72	47	13	12	3	0	11
501	1000	500	1963046	2.2603	54	90	126	80	52	27	28	43
1001	1500	500	451999	0.5204	22	44	69	86	72	61	72	74
1501	2000	500	138010	0.1589	3	12	19	59	89	90	128	100
2001	3000	1000	65161	0.0750	1	10	5	48	55	92	415	374
3001	4000	1000	10413	0.0120	0	2	0	6	14	21	297	660
4001	5000	1000	2008	0.0023	0	1	0	0	3	2	146	848
5001	7000	2000	246	0.0003	0	0	0	0	1	1	78	1920
7001	11826	4826	0	0.0000	0	0	0	0	0	0	5	4821
