lo	hi	vocab	sum_score	pct_total	hsk1	hsk2	hsk3	hsk4	hsk5	hsk6	hsk7-9	none
1	100	100	62991782	78.8669	82	16	2	0	0	0	0	0
101	300	200	11995865	15.0190	99	53	31	8	2	3	2	2
301	500	200	2690632	3.3687	39	75	54	15	12	3	0	2
501	1000	500	1707929	2.1384	57	97	132	89	56	30	33	6
1001	1500	500	353660	0.4428	20	37	62	92	88	79	91	31
1501	2000	500	93809	0.1175	3	15	17	54	91	89	188	43
2001	3000	1000	33871	0.0424	0	6	2	41	42	90	507	312
3001	4000	1000	3242	0.0041	0	1	0	1	8	5	255	730
4001	5000	1000	212	0.0003	0	0	0	0	1	1	77	921
5001	7000	2000	0	0.0000	0	0	0	0	0	0	17	1983
7001	8988	1988	0	0.0000	0	0	0	0	0	0	1	1987
