lo	hi	vocab	sum_score	pct_total	hsk1	hsk2	hsk3	hsk4	hsk5	hsk6	hsk7-9	none
1	100	100	71650611	78.7451	82	16	2	0	0	0	0	0
101	300	200	13719928	15.0784	99	53	31	8	2	3	2	2
301	500	200	3088705	3.3945	40	75	53	15	12	3	0	2
501	1000	500	1967252	2.1620	55	97	134	88	56	30	33	7
1001	1500	500	409753	0.4503	21	37	61	92	88	80	89	32
1501	2000	500	109878	0.1208	3	15	16	55	92	89	188	42
2001	3000	1000	40110	0.0441	0	6	3	41	41	90	514	305
3001	4000	1000	3983	0.0044	0	1	0	1	8	4	252	734
4001	5000	1000	334	0.0004	0	0	0	0	1	1	75	923
5001	7000	2000	0	0.0000	0	0	0	0	0	0	16	1984
7001	9535	2535	0	0.0000	0	0	0	0	0	0	2	2533
