rank	word	freq	cum_freq	cum_pct
1	的	59413	59413	4.2932
2	我	57496	116909	8.4478
3	你	51664	168573	12.1811
4	了	50753	219326	15.8485
5	是	26590	245916	17.7699
6	啊	19019	264935	19.1442
7	不	16253	281188	20.3187
8	都	13687	294875	21.3077
9	好	13580	308455	22.2890
10	就	13495	321950	23.2641
11	也	12747	334697	24.1852
12	在	11111	345808	24.9881
13	有	9673	355481	25.6871
14	去	9517	364998	26.3748
15	吧	9480	374478	27.0598
16	吗	8414	382892	27.6678
17	还	8397	391289	28.2746
18	说	8051	399340	28.8563
19	没	7597	406937	29.4053
20	要	7343	414280	29.9359
21	那	6607	420887	30.4133
22	呢	5996	426883	30.8466
23	吃	5848	432731	31.2692
24	什么	5592	438323	31.6732
25	看	5561	443884	32.0751
26	想	5358	449242	32.4622
27	哈哈	5297	454539	32.8450
28	人	5203	459742	33.2210
29	很	5109	464851	33.5901
30	哈哈哈	5024	469875	33.9532
31	可以	4964	474839	34.3119
32	不是	4963	479802	34.6705
33	啦	4852	484654	35.0211
34	这	4761	489415	35.3651
35	没有	4749	494164	35.7083
36	给	4657	498821	36.0448
37	来	4623	503444	36.3789
38	么	4479	507923	36.7025
39	我们	4470	512393	37.0255
40	就是	4424	516817	37.3452
41	知道	4270	521087	37.6538
42	嗯	4261	525348	37.9617
43	他	4077	529425	38.2563
44	呀	4035	533460	38.5478
45	自己	3908	537368	38.8302
46	对	3892	541260	39.1115
47	现在	3872	545132	39.3913
48	一个	3837	548969	39.6685
49	会	3755	552724	39.9399
50	怎么	3733	556457	40.2096
51	还是	3698	560155	40.4768
52	哦	3636	563791	40.7396
53	又	3506	567297	40.9929
54	到	3485	570782	41.2447
55	多	3464	574246	41.4950
56	和	3381	577627	41.7393
57	这个	3323	580950	41.9795
58	这么	3216	584166	42.2119
59	喜欢	3192	587358	42.4425
60	嘛	2818	590176	42.6461
61	真的	2732	592908	42.8435
62	能	2687	595595	43.0377
63	时候	2687	598282	43.2319
64	觉得	2667	600949	43.4246
65	你们	2580	603529	43.6110
66	过	2540	606069	43.7946
67	今天	2498	608567	43.9751
68	等	2491	611058	44.1551
69	才	2464	613522	44.3331
70	着	2434	615956	44.5090
71	买	2402	618358	44.6826
72	她	2398	620756	44.8558
73	跟	2350	623106	45.0257
74	个	2331	625437	45.1941
75	做	2297	627734	45.3601
76	不要	2284	630018	45.5251
77	得	2278	632296	45.6897
78	上	2224	634520	45.8504
79	被	2202	636722	46.0095
80	回来	2201	638923	46.1686
81	把	2154	641077	46.3242
82	谢谢	2139	643216	46.4788
83	大	2050	645266	46.6269
84	睡	2029	647295	46.7736
85	让	2022	649317	46.9197
86	找	2014	651331	47.0652
87	再	1996	653327	47.2094
88	那么	1988	655315	47.3531
89	不会	1977	657292	47.4959
90	啥	1965	659257	47.6379
91	太	1949	661206	47.7788
92	这样	1944	663150	47.9192
93	爱	1932	665082	48.0588
94	一起	1930	667012	48.1983
95	谁	1896	668908	48.3353
96	感觉	1829	670737	48.4675
97	还有	1817	672554	48.5988
98	已经	1806	674360	48.7293
99	小	1802	676162	48.8595
100	看到	1801	677963	48.9896
101	快	1763	679726	49.1170
102	明天	1710	681436	49.2406
103	那个	1628	683064	49.3582
104	应该	1626	684690	49.4757
105	因为	1603	686293	49.5916
106	不能	1597	687890	49.7069
107	走	1567	689457	49.8202
108	哈哈哈哈	1555	691012	49.9325
109	玩	1548	692560	50.0444
110	叫	1530	694090	50.1550
111	所以	1508	695598	50.2639
112	一下	1496	697094	50.3720
113	好看	1476	698570	50.4787
114	但是	1474	700044	50.5852
115	一样	1463	701507	50.6909
116	加油	1453	702960	50.7959
117	可能	1432	704392	50.8994
118	哪里	1403	705795	51.0008
119	真	1391	707186	51.1013
120	一直	1385	708571	51.2014
121	出来	1375	709946	51.3007
122	点	1372	711318	51.3999
123	为什么	1359	712677	51.4981
124	不过	1355	714032	51.5960
125	是不是	1331	715363	51.6921
126	用	1328	716691	51.7881
127	哪	1306	717997	51.8825
128	下	1285	719282	51.9753
129	比	1248	720530	52.0655
130	带	1229	721759	52.1543
131	时间	1222	722981	52.2426
132	打	1216	724197	52.3305
133	请	1206	725403	52.4176
134	回	1198	726601	52.5042
135	开心	1171	727772	52.5888
136	晚上	1169	728941	52.6733
137	最	1153	730094	52.7566
138	回家	1152	731246	52.8399
139	完	1141	732387	52.9223
140	好好	1134	733521	53.0042
141	哇	1122	734643	53.0853
142	最近	1114	735757	53.1658
143	一	1103	736860	53.2455
144	其实	1089	737949	53.3242
145	起来	1086	739035	53.4027
146	有点	1082	740117	53.4809
147	我要	1058	741175	53.5573
148	然后	1050	742225	53.6332
149	以后	1043	743268	53.7086
150	朋友	1028	744296	53.7828
151	哈	1023	745319	53.8568
152	好吃	1020	746339	53.9305
153	挺	1020	747359	54.0042
154	一定	1014	748373	54.0775
155	不好	1007	749380	54.1502
156	只是	1007	750387	54.2230
157	看看	1006	751393	54.2957
158	穿	1004	752397	54.3682
159	好像	998	753395	54.4403
